country,station_id,city,state,power_kw,connection_type_id,connector_name
Brazil,486411,Goiânia,,23.0,25,Type 2
Brazil,486406,Maresias São Sebastião,,7.0,25,Type 2
Brazil,486340,Vicente Pires,,30.0,33,CCS2
Brazil,485972,Pinheiros,,60.0,33,CCS2
Brazil,485972,Pinheiros,,60.0,33,CCS2
Brazil,485827,Marzagão,Goiás,40.0,33,CCS2
Brazil,485827,Marzagão,Goiás,40.0,33,CCS2
Brazil,485760,Montes Claros,,60.0,33,CCS2
Brazil,485760,Montes Claros,,60.0,33,CCS2
Brazil,485759,Rio Casca,,240.0,33,CCS2
Brazil,485759,Rio Casca,,240.0,33,CCS2
Brazil,485759,Rio Casca,,240.0,33,CCS2
Brazil,485714,"Asa Norte, Brasília",,60.0,33,CCS2
Brazil,485714,"Asa Norte, Brasília",,60.0,33,CCS2
Brazil,485713,"Sudoeste, Brasília",,60.0,33,CCS2
Brazil,485713,"Sudoeste, Brasília",,60.0,33,CCS2
Brazil,485656,Vicente Pires,,21.0,25,Type 2
Brazil,485656,Vicente Pires,,21.0,25,Type 2
Brazil,485167,,São Paulo,30.0,33,CCS2
Brazil,485166,,São Paulo,100.0,33,CCS2
Brazil,485166,,São Paulo,100.0,33,CCS2
Brazil,484758,Cavalcante,,7.0,25,Type 2
Brazil,484757,Alto Paraíso de Goiás,,7.0,25,Type 2
Brazil,484756,Aruanã,,7.0,25,Type 2
Brazil,484755,Brasília,,23.0,25,Type 2
Brazil,484755,Brasília,,23.0,25,Type 2
Brazil,484754,Brasília,,30.0,33,CCS2
Brazil,484754,Brasília,,30.0,33,CCS2
Brazil,484753,Brasília,,22.0,25,Type 2
Brazil,484752,Brasília,,22.0,25,Type 2
Brazil,484751,"Asa Norte,",,60.0,33,CCS2
Brazil,484751,"Asa Norte,",,60.0,33,CCS2
Brazil,484750,Brasília,,23.0,25,Type 2
Brazil,484749,Brasília,,60.0,33,CCS2
Brazil,484749,Brasília,,60.0,33,CCS2
Brazil,484749,Brasília,,60.0,33,CCS2
Brazil,484748,Brasília,,22.0,25,Type 2
Brazil,484747,Brasília,,60.0,33,CCS2
Brazil,484747,Brasília,,60.0,33,CCS2
Brazil,484746,Brasília,,30.0,33,CCS2
Brazil,484746,Brasília,,30.0,33,CCS2
Brazil,484745,Brasília,,23.0,25,Type 2
Brazil,484744,Brasília,,23.0,25,Type 2
Brazil,484744,Brasília,,23.0,25,Type 2
Brazil,484743,Brasília,,22.0,25,Type 2
Brazil,484742,Brasília,,23.0,25,Type 2
Brazil,484741,Brasília,,23.0,25,Type 2
Brazil,484740,Brasília,,23.0,25,Type 2
Brazil,484739,Brasília,,80.0,33,CCS2
Brazil,484739,Brasília,,60.0,33,CCS2
Brazil,484739,Brasília,,23.0,1036,Tesla
Brazil,484739,Brasília,,60.0,33,CCS2
Brazil,484738,Brasília,,23.0,25,Type 2
Brazil,484737,Brasília - DF,,60.0,33,CCS2
